id,bororo
127,"Dukeje icare eture pugeje. Ekodo toro nowu tugoda paru kae pugeje, dukejere icare nowu Kaigu, nowu Aromerere, ere tugeragu ei, ere tôro kiwuje epiji, ere kuruguga kiwuje, ere cewu kiogoaro kiwuje epiji."
128,Dukejere icare ere etaimo nowu aroe keje.
129,"Dukejere icare Kaigu makore tuwiemagei, agore: - Imedumage, tarego bapodoge etae, tawo bapo maku Tugarege etai, eiamedu eragoduwo tuiaduji. Tuiadu KIDOGURU PARA, tuiadu ROIA GIGUDU (de Bokodori Ecerae)"
130,"Dukejere nowu aroe uo aregodure, ure tumugudo ewure paru. Icare ere nowu cimo pariko, nowu tuwabo, ere makai tu...Ca! Imadure tabo tu... icare uture tabo toro bato, toro tuieda kae. Ure jeto tu tuieda keje."
131,Nowu aredu jire boe egore Okoge Etoreduje.
132,"Nonore icare Kaigu makore Iwagududoge eiamedu ae: Ime, ipare, etae."
133,"Nonore icare makore nowu Iwagududoge eiamedu boe ae, ipare, ime, eiamedu boe ae: ia eegigudu (miudinhos), ia eetawudu (miudo) padukare (exceto os mais miudinhos)."
134,"Kaigu akore: Kodire inagoino tagae: tarodo taci toro taerubo kae, tagiogowo tai, tawo tado tarugadu inagu aroe etogi, taduruwo tarerugodui inagu aroe ebo duji."
135,"Icare ipare eture Kaigu uwai kae, egore: - Nogware kugure, tare irogodu kowu?."
136,Ipare egore: - Kirabodu!
137,"Egore: - Boe baado, kodo baado, betodoge ewaado, tagudae pegarogu boe baado."
138,Taregodui ewogai dutabo egore:
139,"Dutabore egore: :kodo toro etai. Ere tugo jice etae oino, dutabore egore: “Aroe etaregodurega owu owu”"
140,Dukejere ere tugera kogudo oino tugo kajeje tu.
141,Icare ere turagojedo taci. Icare eture ebo toro Kaigu uwai kae.
142,Icare ere nonogo tugu eto. Ere eiamedu kujagudo taci.
143,"Ecewu Apiboregedu, nonogo tugudure to, mare atugore nowa tabo, duwu nowu nowa kigadure nonogo kujagu tada, du moture ji."
144,Nowu nonogore nowu Okoge eporai rema.
